word_raw,count
katie,18
ribbon,71
woof,275
movement,5
chestnut,7
coral,7
rosie,88
pigeons,20
ogre,1
difference,71
lou,50
orchid,4
thanksgiving,49
silence,24
impressed,13
gun,126
shh,301
seaweed,19
excited,100
hippopotamus,88
mary,122
teachers,31
tail,488
tennis,59
dollars,123
wet,476
anyplace,8
invited,32
attention,61
honeydew,6
bow,134
spine,7
teasing,39
fairy,90
mildred,1
jones,26
garbage,199
vampire,7
allowed,39
lasagna,13
henry,82
operation,6
finding,42
smile,99
investigator,11
jessica,100
often,162
flipping,9
olives,56
struck,11
clapped,6
class,248
hopes,6
flying,247
pepsi,20
bum,34
camping,53
converting,1
matt,78
aw,388
absolutely,71
wing,36
monster,253
town,176
india,35
stretching,12
bananas,129
zach,22
gate,88
shoots,13
blood,38
puddle,158
representing,1
rings,130
rash,15
symphony,1
mosquito,23
switching,9
tray,116
keeps,128
football,243
comfortable,75
arthur,91
tastier,1
blew,76
sh,46
winter,146
grace,50
thin,47
yum,310
headlines,19
quietly,33
po,58
kick,203
also,507
listen,613
tipping,10
drum,104
paul,383
nurses,27
rounded,35
cruel,13
ripped,66
transcribe,10
paints,52
brick,34
tuesday,245
swim,200
wheels,299
swims,30
kelloggs,6
air,351
mistress,13
tramp,20
points,57
chum,4
michael,261
ounces,6
nodded,10
bicycle,128
platter,3
witch,99
hoi,3
arm,268
wheel,191
boats,59
swish,123
bounced,15
interesting,191
sister,331
medicine,197
providence,13
humpty,64
flounder,68
beads,174
p,275
oil,95
bowls,42
dark,329
mash,22
carnival,36
patrick,155
doggy,146
okey,44
holy,24
clack,1
noises,66
breaking,58
rolled,73
counting,54
wednesday,281
electricity,20
jo,47
except,167
cranky,110
washing,143
furious,6
map,138
whoosh,114
barn,184
humming,10
pepperoni,24
fireplace,51
glittery,6
biscuit,65
dreams,69
concert,22
mat,188
telephone,300
backing,10
best,381
bottles,167
leaning,15
creeping,5
thankyou,18
steven,36
hurts,154
lollipops,15
become,39
chicken,647
sharp,113
wire,85
forest,111
learn,263
deep,122
cooking,164
mumma,18
movies,68
maria,65
stomach,217
bury,11
spigot,10
fredrick,36
board,156
mattress,29
afterwards,55
orphan,19
blues,14
celeste,13
coo,31
canada,33
felicia,8
putting,543
claude,22
santa,296
gus,30
rented,2
puffed,49
robin,262
fool,29
builder,20
apparently,25
manners,18
richard,70
chowder,18
undershirts,4
london,23
won,86
sorely,1
screws,30
barbara,53
shoulder,40
south,42
once,430
neither,37
upside,201
gail,64
raft,10
threads,5
raining,158
studying,11
mixer,80
mess,354
reindeer,52
ruby,147
mailman,50
matched,6
state,174
frustrated,23
pinky,16
affection,3
porch,51
ambulance,78
sings,45
bagged,1
worried,45
cape,41
belt,93
drawers,30
wooden,33
nathan,52
waste,34
macaroni,161
whirled,3
underwater,23
tiger,249
iced,37
passenger,11
shame,26
restaurant,65
dum,31
above,175
pops,30
ducks,171
drew,84
coloring,116
lord,37
sailboat,20
lose,182
stroller,56
whisk,20
lara,14
ari,4
penguin,42
grapes,170
ho,116
rum,27
list,106
eraser,35
chop,83
slow,175
dwarfs,22
children,272
bike,216
porcupine,31
john,162
october,16
line,248
calling,231
scene,15
snail,78
ugly,47
nectar,11
monkeys,67
age,58
chicks,55
pee,102
threw,209
rolls,48
utah,11
melanie,12
anne,72
bumps,34
alive,61
gum,106
deal,62
vacation,90
tusks,226
lights,188
jewelry,20
chrissy,5
vik,30
scratching,19
subway,17
delivering,11
article,5
longer,161
shaving,18
pooh,306
wondering,51
doo,406
snowfall,2
waited,42
fishes,37
imagine,52
ivory,31
lizard,49
robots,11
course,207
cha,174
sign,124
huckle,56
smooth,112
stronger,24
cherries,38
jude,8
cracker,145
jeez,56
kidnap,4
knock,275
stockings,10
travel,46
captain,61
lisa,84
dial,53
terrible,114
v,159
hooted,1
balloons,148
lower,16
sad,276
grandmas,21
toot,241
butterfly,464
carry,235
crystal,24
whining,22
belong,131
french,143
seth,137
mariana,147
nut,91
earth,115
whose,352
field,81
donkey,225
itself,65
volcano,12
flat,144
alaska,21
tyrannosaurus,21
zip,95
across,204
swinging,56
untangle,14
bringing,92
ranger,7
x,132
christopher,101
pointing,37
stove,114
drags,1
norman,87
sat,274
freedom,2
followed,71
station,131
care,337
own,377
reading,349
indigo,4
worcestershire,6
legged,15
kid,206
joke,78
panes,2
eighteen,51
rather,147
flowers,446
squirrels,48
pages,137
bambi,84
mechanic,7
joined,13
parts,73
tanks,11
pew,16
beetle,30
sofa,44
rise,21
step,182
early,180
maid,16
kentucky,21
hector,4
trevor,182
crab,96
puke,7
stood,86
garfield,13
thinks,112
gotham,1
tanker,24
roast,59
smeared,3
questions,37
opened,140
screw,75
dip,83
rhyming,10
peanut,245
mic,20
elaina,1
windy,48
perfectly,43
wastebasket,26
timeout,11
firm,15
hydrant,26
winds,10
raisin,70
bent,27
silicone,2
drank,79
towards,60
pine,33
strut,7
cloth,66
raccoon,68
olympic,1
bady,5
k,144
mane,13
escalator,24
hah,44
rockets,7
rescue,37
doggies,77
cutter,37
pretzels,21
gracie,6
grew,144
zone,10
karate,10
short,154
bothered,39
farthest,4
acre,5
stamping,8
parents,66
noodles,86
positive,5
gal,17
leather,7
paintings,15
bounces,40
puts,101
kleenex,58
math,22
cave,43
painted,70
nickel,69
popping,69
roots,22
outlet,3
undressed,10
eliot,1
rewind,18
dreadful,7
spelled,12
wuzzy,14
hates,9
figure,135
roses,29
flowing,7
en,4
mushrooms,39
thursday,273
chatty,55
star,351
farmer,146
storyteller,21
others,55
necklace,103
gee,101
ana,88
moose,68
mistake,64
motorcycle,132
hearts,41
meow,321
wagons,3
armchair,2
duh,41
dome,6
pond,61
earlier,39
foxboro,2
shuttle,6
thinking,261
danny,62
wrench,52
nail,62
defensive,2
nerve,5
excellent,176
spiders,38
minutes,374
barely,29
claws,39
ham,81
follow,61
yer,55
lollipop,212
jello,51
exciting,128
popsicle,96
ladies,40
hysterical,7
poem,10
gentle,167
maryann,14
large,96
cheerio,25
freezing,28
bank,79
everybody,328
damn,51
billy,82
rubber,164
hide,246
frighten,11
dead,77
pack,86
usually,283
spotless,1
fruit,212
jar,106
cows,161
toothbrush,132
hats,120
pat,136
ashtray,11
charley,6
european,3
granny,26
carle,13
tight,128
songs,90
dove,13
yikes,64
jury,2
total,10
doubt,25
dream,127
past,321
