word_raw,count
sign,124
patience,5
telephones,38
since,192
paste,35
todd,3
driving,231
em,542
aimee,30
luck,61
danger,26
perch,6
sides,52
pony,69
turkey,237
afraid,208
thompson,2
ground,245
fortunately,6
calling,231
strawberry,175
escaped,13
checked,26
raise,11
pie,653
nestled,3
turtle,277
knees,70
maggie,52
may,767
old,1057
mobile,20
geologist,1
park,323
ais,26
sunday,535
heavy,299
listen,613
tight,128
along,407
punished,12
gold,101
write,782
naps,12
snap,328
mister,276
guest,12
forget,300
raining,158
likes,567
g,199
organized,11
wrap,55
unknown,4
circus,182
shut,340
dogs,277
curls,78
plug,58
pants,388
thin,47
matter,522
recipe,27
dropping,23
desk,101
valley,25
megan,23
warmed,5
meat,251
wakes,26
anita,4
return,33
choking,12
mile,7
evil,18
mars,30
watering,54
stairs,335
letter,448
goody,18
frustrated,23
peel,83
pies,32
crummy,10
snake,352
microphone,673
toby,55
riding,221
garden,282
yogurt,302
remembered,54
job,575
reach,235
tip,115
rest,448
rainbow,120
eighth,14
tea,711
pair,183
size,97
coke,63
gym,51
trained,40
pronounce,9
packed,124
princess,145
walking,364
tend,4
gun,126
probably,683
gloves,49
till,80
swiss,172
underneath,152
finished,425
birds,317
perfect,93
puffing,5
stuck,663
cherry,291
glasses,231
planned,7
bunting,5
someone,313
cooking,164
mike,102
salt,171
utah,11
grapes,170
wants,815
started,512
daughter,43
smart,252
bakery,72
bottles,167
sticker,89
toys,1083
frederick,57
peep,85
rounded,35
renee,8
music,338
donkey,225
rich,26
problem,144
liam,81
starting,68
run,530
smoke,96
di,119
fred,64
thigh,4
annie,93
pick,1311
missus,114
iron,78
rock,339
boys,287
boom,419
factory,34
camp,50
blowing,107
deep,122
elbows,42
horns,37
seal,65
grew,144
magnets,94
cube,69
whoosh,114
poke,55
punch,99
fairy,90
sometimes,559
paint,317
ride,651
umbrella,148
sort,195
bye,988
sneaked,5
asking,105
bringing,92
sweater,103
place,635
month,60
flying,247
brother,291
applesauce,47
fairies,16
poured,32
broken,435
told,735
doctors,30
raggedy,91
robin,262
hamburger,111
customers,11
nap,460
vitamins,38
bonk,117
clear,54
airport,53
turns,118
falling,275
tumbling,13
waved,204
amanda,216
travel,46
monster,253
burp,57
strawberries,314
cecile,8
forth,97
oops,819
either,459
age,58
marked,8
nicky,51
pleasant,8
mail,207
neck,329
evening,36
tries,30
weighed,34
sneak,22
peanut,245
lay,301
ladder,98
fishing,81
ann,206
pushes,45
left,598
bones,90
squirting,34
nineteenth,9
while,1034
sneeze,56
switch,138
further,43
fraser,200
bobo,53
anyway,348
television,79
sick,245
bumper,54
king,192
bugs,220
vegetables,149
rat,31
china,36
chicks,55
corn,381
missing,216
slice,493
stared,23
under,990
skunk,40
toad,148
throw,1485
painted,70
mood,36
dinosaurs,210
quiet,286
manners,18
wizard,23
filled,82
pocket,336
spooky,14
flowers,446
prairie,22
loading,11
grouch,12
stack,80
keeps,128
sing,715
tail,488
ee,39
trusted,3
pointing,37
twenty,318
thicket,4
tonight,448
shouted,80
supermarket,77
sixty,37
tissue,80
runs,222
sticks,171
carrying,117
police,171
mask,65
banbury,4
foods,51
puts,101
african,301
goodbye,260
takes,210
lines,78
teeth,644
zoomed,9
mother,1081
times,200
toothbrush,132
prick,6
noodles,86
feels,117
works,283
squashed,14
bang,464
arguing,8
celebration,11
ursula,303
uses,60
mower,15
washes,17
broke,376
pedals,7
wave,76
its,511
thomas,235
ouch,152
everybody,328
plunger,3
boots,313
guided,4
indigo,4
zebra,116
quit,43
scratchy,61
snowing,33
battery,118
wan,64
dress,421
rollie,10
hundred,225
rode,59
bone,117
large,96
hydrant,26
wall,372
tanker,24
j,265
flights,5
peas,129
towel,352
nine,438
stealing,11
franklin,187
elastic,30
julius,26
fit,628
sack,48
fabric,13
fighter,19
soy,40
bike,216
gooey,20
lapel,1
potatoes,199
dream,127
clown,299
experiment,10
anyone,93
kinda,329
soda,129
spaghetti,159
dink,2
carrots,189
lined,17
winner,24
tomato,111
million,33
icicles,21
c,406
cocoa,52
plane,219
hitch,6
recently,35
every,490
sweep,41
connect,26
gimme,113
named,170
doctor,362
lamb,131
phones,38
corner,341
tent,65
cut,811
buttons,162
amateurs,1
summertime,8
swimming,352
leaf,610
hiding,281
pillow,304
sites,4
buster,22
burger,31
danny,62
jump,637
shopping,152
sportscasters,19
dora,85
rabbits,72
sits,64
careful,1071
lemon,83
shortcut,5
sponge,58
care,337
wooly,13
steering,31
popcorn,114
peanuts,38
stars,253
lemme,385
chewy,26
cou,36
boo,562
guessing,13
fresh,160
bozo,60
program,23
teasing,39
notice,68
confuse,3
jamie,123
blamed,3
bet,439
oven,126
quarters,21
idea,681
wayland,21
tooth,158
liner,3
forty,79
boot,62
distracted,11
bro,664
lunchtime,11
nipple,14
belly,217
squirt,188
climbers,3
wilson,54
regret,6
dessert,171
eve,606
hitting,65
manuela,382
munching,8
carpet,147
batch,7
plural,4
snowflake,19
dizzy,60
coconut,26
yous,8
measure,88
power,38
street,475
pond,61
theater,22
moisturizer,3
cupcake,198
plate,492
checkers,10
julia,4
watched,82
chairs,146
gloria,84
spotted,30
balloon,631
learn,263
worried,45
names,178
courtney,79
wagon,134
jug,33
pee,102
nah,96
habit,11
nibbled,180
greg,15
anna,62
squeaky,42
above,175
mixed,84
cola,11
yawn,45
alphabet,84
racing,45
pencils,57
stupid,49
ability,3
apartment,29
win,101
blender,18
scratch,156
arm,268
bell,166
barrels,2
bought,263
rhino,16
airplanes,37
nicolas,4
lotta,41
shoveling,10
mustache,67
roared,114
conversation,25
carol,55
pebble,8
turned,293
worry,157
smiling,70
alpine,3
wednesday,281
change,291
hers,53
virginia,37
flour,126
reeds,4
heaving,2
driver,179
board,156
crawling,40
danielle,39
storytellers,17
dripped,105
frozen,79
edges,18
such,353
having,713
chantilly,127
beads,174
base,33
snack,153
porridge,63
lovely,137
center,42
glass,284
watches,26
iowa,15
hatt,15
decided,91
everyone,213
periscope,2
office,130
thump,58
easter,168
sneaking,14
bears,225
poster,29
meet,245
hazel,13
darn,19
sieve,19
baltimore,7
gives,114
yuck,135
apart,233
walked,179
model,12
parking,39
fussy,15
died,48
finally,98
lies,8
headache,28
napkin,136
joe,78
questions,37
broad,3
idaho,18
years,250
hunt,22
cookbook,11
file,10
lunch,705
timer,18
olivia,132
boundary,3
crunchy,44
pasta,52
kangaroo,200
summer,219
sang,60
puddle,158
problems,43
walruses,2
choose,55
attached,48
swim,200
basically,16
dominoes,20
trouble,162
monday,281
nightmares,10
necklace,103
track,284
threaten,1
dirk,4
beak,40
spring,84
attention,61
wider,14
fin,12
figure,135
far,331
mix,203
cleaning,134
ts,6
toenail,3
pod,8
lok,6
pete,42
pregnant,11
climb,260
computer,51
h,153
hanging,123
oy,84
barbecue,17
money,493
salami,234
arrived,46
sand,189
fries,42
contact,2
straps,16
case,107
jesus,33
papa,285
jim,18
d,370
slippers,89
hearts,41
military,3
godmother,24
pancake,98
voice,177
bless,198
whatever,214
mornings,4
heart,176
sounds,346
bout,311
gourds,5
torn,21
rude,19
entrance,5
swallow,55
slide,293
talkin,13
giant,174
scuba,6
witch,99
boxes,77
penny,138
melissa,80
weird,78
sea,337
eiffel,5
toiled,3
chilly,29
sled,34
beds,130
con,7
polar,81
sofa,44
wrestle,16
oil,95
brett,3
chips,111
bumpy,43
fox,173
herds,31
bathing,57
coins,20
bracelet,93
busy,286
peeling,17
tummy,217
speak,95
engineer,47
shovel,167
kisses,109
glancing,1
sunflower,9
also,507
mitchell,10
moving,208
alissa,23
watching,215
tiger,249
women,39
nickel,69
robinson,11
squares,38
anywhere,154
exact,15
radiology,1
feed,254
buns,16
gaby,21
jumping,229
nana,219
becky,82
wings,128
mercedes,2
popular,7
soon,450
square,268
